,countries
0,All
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Argentina
6,Australia
7,Austria
8,Bahrain
9,Bangladesh
10,Belgium
11,Benin
12,Bolivia
13,Bosnia and Herzegovina
14,Botswana
15,Brazil
16,Bulgaria
17,Burkina Faso
18,Burundi
19,Cambodia
20,Cameroon
21,Canada
22,Central African Republic
23,Chad
24,Chile
25,China
26,Colombia
27,Comoros
28,"Congo, Dem. Rep."
29,"Congo, Rep."
30,Costa Rica
31,Cote d'Ivoire
32,Croatia
33,Cuba
34,Czech Republic
35,Denmark
36,Djibouti
37,Dominican Republic
38,Ecuador
39,Egypt
40,El Salvador
41,Equatorial Guinea
42,Eritrea
43,Ethiopia
44,Finland
45,France
46,Gabon
47,Gambia
48,Germany
49,Ghana
50,Greece
51,Guatemala
52,Guinea
53,Guinea-Bissau
54,Haiti
55,Honduras
56,"Hong Kong, China"
57,Hungary
58,Iceland
59,India
60,Indonesia
61,Iran
62,Iraq
63,Ireland
64,Israel
65,Italy
66,Jamaica
67,Japan
68,Jordan
69,Kenya
70,"Korea, Dem. Rep."
71,"Korea, Rep."
72,Kuwait
73,Lebanon
74,Lesotho
75,Liberia
76,Libya
77,Madagascar
78,Malawi
79,Malaysia
80,Mali
81,Mauritania
82,Mauritius
83,Mexico
84,Mongolia
85,Montenegro
86,Morocco
87,Mozambique
88,Myanmar
89,Namibia
90,Nepal
91,Netherlands
92,New Zealand
93,Nicaragua
94,Niger
95,Nigeria
96,Norway
97,Oman
98,Pakistan
99,Panama
100,Paraguay
101,Peru
102,Philippines
103,Poland
104,Portugal
105,Puerto Rico
106,Reunion
107,Romania
108,Rwanda
109,Sao Tome and Principe
110,Saudi Arabia
111,Senegal
112,Serbia
113,Sierra Leone
114,Singapore
115,Slovak Republic
116,Slovenia
117,Somalia
118,South Africa
119,Spain
120,Sri Lanka
121,Sudan
122,Swaziland
123,Sweden
124,Switzerland
125,Syria
126,Taiwan
127,Tanzania
128,Thailand
129,Togo
130,Trinidad and Tobago
131,Tunisia
132,Turkey
133,Uganda
134,United Kingdom
135,United States
136,Uruguay
137,Venezuela
138,Vietnam
139,West Bank and Gaza
140,"Yemen, Rep."
141,Zambia
142,Zimbabwe
